"Code","SPYGEN_code","Date","Country","Region","Site","Replicate","Protection","Time_start","Time_finish","duration","center_lon","center_lat","least_dist_reserve","temp","filter","envPC1","envPC2","envPC3","envPC4"
"BAN1_3","SPY182168","11/07/2019","France","Banyuls",1,3,"reserve","19:40","20:10","00:30",3.16341,42.46564,0,24,0.2,3.83632832157341,0.107288826351978,1.27369362942288,0.232925640657033
"BAN1_4","SPY181975","11/07/2019","France","Banyuls",1,4,"reserve","20:14","20:44","00:30",3.16341,42.46564,0,24,0.2,3.86731728993296,0.189255016609481,1.38980214281312,0.252770332618097
"BAN2_1","SPY182160","11/07/2019","Spain","Banyuls",2,1,"outside5","17:00","17:30","00:30",3.1711,42.41568,4.9,24,0.2,3.80282830826163,0.50117260470898,1.4847845472432,-0.439812996319389
"BAN2_2","SPY182155","11/07/2019","Spain","Banyuls",2,2,"outside5","17:00","17:30","00:30",3.1711,42.41568,4.9,24,0.2,3.87585474566175,0.542080188491977,1.53383141247975,-0.443806584752429
"BAN2_3","SPY182544","11/07/2019","Spain","Banyuls",2,3,"outside5","17:47","18:17","00:30",3.1711,42.41568,4.9,24,0.2,3.45528166234933,0.245503083434017,1.2275476860723,-0.464074860041034
"BAN2_4","SPY182543","11/07/2019","Spain","Banyuls",2,4,"outside5","17:47","18:17","00:30",3.1711,42.41568,4.9,24,0.2,3.48575168921947,0.269388349292029,1.24214240587652,-0.447708449987202
"BAN3_1","SPY181827","11/07/2019","Spain","Banyuls",3,1,"outside10","11:35","12:05","00:30",3.17803,42.35458,11.8,24,0.2,1.76091955273466,-0.33634370369393,1.44960574313963,-0.743886484396043
"BAN3_2","SPY181817","11/07/2019","Spain","Banyuls",3,2,"outside10","11:35","12:05","00:30",3.17803,42.35458,11.8,24,0.2,1.85367763277748,-0.307625435780774,1.49201469721346,-0.7546406193183
"BAN3_3","SPY182546","11/07/2019","Spain","Banyuls",3,3,"outside10","12:30","13:00","00:30",3.17803,42.35458,11.8,24,0.2,2.0228404564203,-0.22943002607893,1.54768899474587,-0.736383887700794
"BAN3_4","SPY182545","11/07/2019","Spain","Banyuls",3,4,"outside10","12:30","13:00","00:30",3.17803,42.35458,11.8,24,0.2,2.05273656099432,-0.217552752095945,1.56537937036808,-0.741883281902469
